doc_id,class,confidence_level,interpretation,similarity,date_time
0f7f507d0af90aba3c35484de016d8b4.doc,"['Договоры поставки', 'Договоры оказания услуг', 'Договоры купли-продажи']","[0.833, 0.143, 0.024]","['2.2. Если качество, комплектность Товара не определена в Спецификации, то Поставщик обязан передать Товар в комплектности, позволяющей использовать Товар в соответствии с его целевым назначением и соответствующей обычно предъявляемым требованиям. (93.5%)', 'ДОГОВОР ПОСТАВКИ № __________ ДОГОВОР № _____ Санкт-Петербург « ___ » _____________ 201___ __________________________, именуемое в дальнейшем «Поставщик», в лице ___________________, действующего на основании __________, с одной стороны, и федеральное государственное бюджетное образовательное учреждение высшего образования «Санкт-Петербургский государственный университет», именуемое в дальнейшем «Покупатель», в лице _____, с другой стороны, заключили настоящий договор (далее – Договор) о нижеследующем: 1. (93.4%)', '5. ОТВЕТСТВЕННОСТЬ СТОРОН 5.1. В случае просрочки оплаты поставленного Товара Поставщик вправе требовать от Покупателя выплаты неустойки (пени) за такую просрочку в размере 1/300 действующей на день уплаты неустойки ставки рефинансирования Банка России от просроченного платежа за каждый день просрочки. (93.3%)', '2.4. Поставщик гарантирует качество и надежность поставляемого Товара в течение гарантийного срока, указанного в паспорте, или ином документе Товара. (93.1%)', '3.6. Расчеты по Договору производятся путем перечисления безналичных денежных средств на расчетный счет Поставщика. (92.9%)']",0.5784313725490197,2022-12-25 12:58:38.523057
4e583dc5a5f1499fd2408f3152589f2d.doc,"['Договоры поставки', 'Договоры оказания услуг', 'Договоры подряда', 'Договоры аренды', 'Договоры купли-продажи']","[0.797, 0.101, 0.063, 0.032, 0.006]","['11.4. Ответственность Поставщика: 11.4.1. В случае просрочки выполнения Поставщиком обязательств, предусмотренных договором, а также в иных случаях неисполнения или ненадлежащего исполнения Поставщиком обязательств, предусмотренных договором, Заказчик направляет Поставщику требование об уплате неустоек (штрафов, пеней). (94.3%)', 'Предмет договора 1.1. В соответствии с настоящим договором Поставщик обязуется в порядке и сроки, предусмотренные настоящим договором, осуществить поставку медицинского оборудования (комплект видеоэндоскопический) ОКПД2 26.60.12.119, 32.50.50.190, 26.60.12.129, 32.50.13.190, 32.50.13.110, 26.60.13.130 (далее – Оборудование) в соответствии со Спецификацией (приложение № 1 к договору), а Заказчик обязуется в порядке и сроки, предусмотренные договором, принять и оплатить поставленное Оборудование. (94.3%)', '11.4.2. Пеня начисляется за каждый день просрочки исполнения Поставщиком обязательства, предусмотренного договором, начиная со дня, следующего после дня истечения установленного договором срока исполнения обязательства, и устанавливается договором в размере одной трехсотой действующей на дату уплаты пени ставки рефинансирования Центрального банка Российской Федерации от цены договора, уменьшенной на сумму, пропорциональную объему обязательств, предусмотренных договором и фактически исполненных Поставщиком . (94.2%)', '9.9. Все расходы по обслуживанию оборудования осуществляются Поставщиком в полном объеме в течение всего гарантийного срока. (94.2%)', 'Оплата по договору осуществляется после исполнения обязательств Поставщиком по поставке Оборудования и оказанию сопутствующих Услуг, предусмотренных настоящим договором. (94.2%)']",0.1078431372549019,2022-12-25 13:01:33.630858
19e2becdb0f10e1c16a5a2460f3a84a2.pdf,"['Договоры поставки', 'Договоры оказания услуг', 'Договоры аренды', 'Договоры подряда', 'Договоры купли-продажи']","[0.776, 0.103, 0.052, 0.034, 0.034]","['Поставщик обязан предоставить на поставленный Товар всю необходимую документацию, предусмотренную действующим законодательством Российской Федерации. (93.6%)', '7.4. Оплата по Договору осуществляется путем перечисления денежных средств на расчетный счет Поставщика в течение 5 банковских дней с момента подписания Сторонами соответствующей Спецификации. (93.6%)', '7.3. Возмещение транспортных расходов, понесенных Поставщиком, осуществляется Покупателем на основании выставленных Поставщиком счетов и копий документов, подтверждающих стоимость перевозки и связанных с ней услуг Перевозчика, путем перечисления денежных средств на расчетный счет Поставщика, если иной порядок не согласован Сторонами дополнительно. (93.5%)', 'Поставщик обязан рассмотреть представленную Покупателем заявку и сообщить о возможности, объемах и сроках ее удовлетворения в течение 5 рабочих дней с даты ее получения. (93.4%)', '7.2. Общая цена Договора состоит из суммы итоговых стоимостей партий Товаров по Спецификациям, которые являются неотъемлемой частью Договора, и суммы расходов Поставщика, подлежащих возмещению Покупателем. (93.4%)']",0.696078431372549,2022-12-25 13:01:55.375302
69ab7557dee21939aa7432b23a54cb2b.doc,"['Договоры поставки', 'Договоры подряда', 'Договоры купли-продажи', 'Договоры оказания услуг', 'Договоры аренды']","[0.647, 0.118, 0.103, 0.088, 0.044]","['Услуга оплачивается в следующий срок: . 5.2.2. Выгрузка товара с транспорта Поставщика осуществляется силами и за счет Поставщика. (93.6%)', '5.3. Поставщик обязан восполнить недопоставленное количество товара в течение дней после истечения срока поставки. (93.4%)', 'Приложение № 2 График платежей 12. Адреса и реквизиты сторон Покупатель Поставщик Наименование: Место нахождения: Почтовый адрес: ОГРН ИНН КПП Р/с в К/с БИК Наименование: Место нахождения: Почтовый адрес: ОГРН ИНН КПП Р/с в К/с БИК от имени Покупателя: (должность) (подпись) / (Ф.И.О.) / место печати от имени Поставщика: (должность) (подпись) / (Ф.И.О.) / метр П Приложение № 1 к договору поставки (с выполнением работ) № ___ от ""___"" __________ 20___ Задание Покупателя 13. (93.2%)', '17. Реквизиты сторон: Покупатель Поставщик Наименование: Место нахождения: Почтовый адрес: ОГРН ИНН Наименование: Место нахождения: Почтовый адрес: ОГРН ИНН от имени Покупателя: (должность) (подпись) / (Ф.И.О.) / место печати от имени Поставщика: (должность) (подпись) / (Ф.И.О.) / метр П Приложение № 2 к договору поставки (с выполнением работ) № ___ от ""___"" __________ 20___ График платежей 18. (92.9%)', '5.4.3. Тара (упаковка) является одноразовой, возврату Поставщику не подлежит. (92.7%)']",0.2450980392156862,2022-12-25 13:02:02.399220
35b6a0f57d909507c5aa9a8972b15f35.pdf,"['Договоры оказания услуг', 'Договоры аренды']","[0.949, 0.051]","['2.1.2. Безвозмездно, в срок, установленный Заказчиком, исправить все выявленные недостатки, если в процессе оказания услуг Исполнитель допустил отступление от условий договора, ухудшившее качество услуг. (95.1%)', 'Предмет договора 1.1. По договору возмездного оказания услуг Исполнитель обязуется по заданию Заказчика оказать услуги, указанные в пункт 1.2 настоящего договора, а Заказчик обязуется принять и оплатить эти услуги. (95.0%)', '1.2. Исполнитель обязуется оказать следующие услуги по реализации дополнительной профессиональной программы (повышения квалификации или профессиональной переподготовки) по теме: «________________________________»: _____________________________________________________________________________ (перечисляются виды услуг из учебного плана) 1.3. (95.0%)', '2.2.2. Оплатить услуги Исполнителя в порядке и размере, указанные в разделе 3 настоящего договора. (95.0%)', 'Исполнитель оказал Заказчику услуги по Договору возмездного оказания преподавательских услуг от «___» _______________ 20__г. (94.9%)']",0.7450980392156863,2022-12-25 13:02:09.025827
736cc87395089b9611b0db70d2999d75.pdf,"['Договоры оказания услуг', 'Договоры поставки', 'Договоры подряда', 'Договоры аренды', 'Договоры купли-продажи']","[0.906, 0.049, 0.02, 0.02, 0.004]","['Во исполнение Договора ИСПОЛНИТЕЛЬ в период с «__» ________ 20__ по «__» ________ 20__ выполнил обязательства по оказанию услуг. (95.0%)', 'ДОГОВОР ОКАЗАНИЯ УСЛУГ № ________ 1 ДОГОВОР ОКАЗАНИЯ УСЛУГ № __/________ _____________ «__»__________ 20__г. (95.0%)', '2.1.2 По итогам отчетного месяца - не позднее 5 (пятого) числа месяца, следующего за отчетным, выставлять счет на оплату услуг ИСПОЛНИТЕЛЯ, счет-фактуру и Акт сдачи-приемки услуг (Приложение №4). (94.9%)', '3. Сумма начисленных ЗАКАЗЧИКОМ денежных средств по оплате услуг физическими лицами за отчётный период составляет _______ (__________) руб. (94.8%)', '_____ коп. Общая стоимость оказанных услуг за указанный период с учётом НДС (20%) составляет _______ (__________) руб. (94.7%)']",0.4509803921568627,2022-12-25 13:02:24.496049
b40a9d048b199d5f4db62a6a2335f2a0.pdf,"['Договоры поставки', 'Договоры оказания услуг', 'Договоры подряда']","[0.857, 0.071, 0.071]","['1. ПРЕДМЕТ ДОГОВОРА 1.1.Поставщик обязуется поставить, а Покупатель – принять и оплатить продукцию (далее – Товары) в соответствии с перечнем товара (Приложение 1) и графиком поставки (Приложение 2). (93.8%)', '3.2.При несоблюдении сроков поставки Товара или недопоставки Товаров Поставщик уплачивает Покупателю неустойку в размере двух процентов от стоимости каждой партии, поставка которой просрочена, до момента надлежащего исполнения Поставщиком соответствующего обязательства, за каждый день просрочки. (93.7%)', '3. ОТВЕТСТВЕННОСТЬ СТОРОН 3.1.При несоблюдении сроков оплаты Поставщик имеет право начислить Покупателю пеню в размере 0,1% от суммы соответствующего платежа за каждую полную неделю просрочки, начиная со второй недели просрочки, но не более 10% от общей суммы задолженности. (93.7%)', '4. ЦЕНА ДОГОВОРА 4.1.Стоимость каждой партии подлежащих поставке Товаров определяется в соответствии с прилагаемыми к договору спецификацией и графиком поставки. (93.1%)', 'Microsoft Word - Договор поставки товаров.docx ДОГОВОР ПОСТАВКИ № 1 Москва «11» декабря 2020 Общество с ограниченной ответственностью «__________», именуемое в дальнейшем «Поставщик», в лице генерального директора __________, действующего на основании устава, с одной стороны и Общество с ограниченной ответственностью «__________», именуемое в дальнейшем «Покупатель», в лице директора __________, действующей на основании устава, с другой стороны, совместно именуемые «Стороны», заключили настоящий договор о нижеследующем. (93.1%)']",0.803921568627451,2022-12-25 13:02:37.680361
6b18c046e7ccfdaf9123c11980f56c35.doc,"['Договоры подряда', 'Договоры оказания услуг', 'Договоры аренды', 'Договоры поставки']","[0.735, 0.184, 0.041, 0.041]","['При этом Заказчик обязуется оплатить фактически произведенные до дня расторжения затраты Подрядчик на выполнение Работ по настоящему Договору. (94.1%)', '3.6. Заказчик вправе в любое время проверять ход и качество выполнения Работ Подрядчиком, не вмешиваясь при этом в ход его (Подрядчика) деятельности. (94.1%)', '3.5. Заказчик обязан обеспечить Подрядчику все необходимые условия для беспрепятственного и своевременного выполнения Работ. (94.0%)', '3. Порядок выполнения и сдачи-приемки Работ 3.1. Подрядчик приступает к началу выполнения Работ в сроки, установленные пунктом 1.3. настоящего Договора. (94.0%)', '5.3. Ответственность за ущерб, причиненный Подрядчиком в ходе выполнения Работ третьим лицам, несет Подрядчик, если не докажет, что ущерб был причинен вследствие обстоятельств, за которые отвечает Заказчик. (93.9%)']",0.696078431372549,2022-12-25 13:02:45.839961
1ea8809d696a4bd6a2076fbc6fd28c23.doc,"['Договоры купли-продажи', 'Договоры оказания услуг', 'Договоры аренды', 'Договоры поставки', 'Договоры подряда']","[0.52, 0.29, 0.13, 0.05, 0.01]","['АДРЕСА СТОРОН Продавец: ______________________________ (адрес регистрации Продавца) Покупатель: ______________________________ (адрес регистрации Покупателя) ПОДПИСИ СТОРОН Продавец: ________________/_______________ (подпись) (ФИО) Покупатель: ________________/_____________ (подпись) (ФИО) Примечания: Выше приводится вариант типового документа, который содержит наиболее распространенные условия и не учитывает индивидуальных особенностей. (88.7%)', '3.5. Продавец получает доступ к указанной банковской ячейке после государственной регистрации права собственности Покупателя на Квартиру, указанную в пункт 1 настоящего Договора, при предъявлении в Банк следующих документов: _________________________________________________________________________ . (88.6%)', '5.2.4. Уплатить Покупателю цену за Квартиру в порядке, установленном настоящим Договором, а именно: в присутствии Продавца поместить денежную сумму, указанную в пункт 3.2 настоящего Договора, в банковскую ячейку в сроки и в порядке, установленные пункт 3.4 настоящего Договора. (88.5%)', 'При передаче Квартиры Продавец обязан передать Покупателю также всю имеющуюся техническую и иную документацию на Квартиру и находящееся в ней оборудование, а также документацию и предметы, связанные с владением, эксплуатацией и использованием Квартиры (ключи, документы и т.п.). (88.5%)', 'В подтверждение получения денежных средств в сумме, указанной в пункт 3.2 настоящего Договора, Продавец передает Покупателю расписку в получении соответствующей суммы. (88.4%)']",0.0980392156862745,2022-12-26 12:13:03.832598
2b25ecf601a9ce0c2a33c8e1d9746df2.doc,"['Договоры аренды', 'Договоры оказания услуг', 'Договоры поставки', 'Договоры подряда']","[0.792, 0.117, 0.065, 0.026]","['5.1.1. Арендатор вправе своими силами и за свой счет установить вывеску на объекте с соблюдением требований нормативных правовых актов без дополнительного согласия Арендодателя. (96.6%)', 'Арендатор вправе с согласия Арендодателя сдавать имущество в субаренду, предоставлять имущество в безвозмездное пользование, передавать свои права и обязанности по Договору другому лицу (перенаем), отдавать арендные права в залог, вносить арендные права в качестве вклада в уставный капитал хозяйственных товариществ и обществ, вносить арендные права в качестве паевого взноса в производственный кооператив. (96.6%)', 'При этом Арендодатель обязуется оказать Арендатору необходимое содействие. (96.5%)', '309 ГК РФ). Если условия о капремонте арендованного имущества не согласованы, то обязанность осуществить такой ремонт несет арендодатель, который должен выполнить его за свой счет, при условии, что иное не предусмотрено законом или другими правовыми актами (п. (96.5%)', '(срок платежа) - (размер платежа) . 3.4. Обязательство Арендатора по внесению безналичного платежа считается исполненным в момент зачисления денежных средств на корреспондентский счет банка Арендодателя. (96.5%)']",0.6176470588235294,2022-12-26 12:13:14.482859
